
 if you wanna dance with me 
 i'm a loser 
 and i lost someone who's near to you 
 the act you've known for all these years 
 
 i'm a loser 
 and i'm not what i appear to be 
 she said you 
 i wanna be famous, a star 
 desmond takes a trolley to the jewellers stores 
 like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah like a rolling stone 
 ah
